name,price,img,url,description,people,cabins,year
Shine 26,350.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/shine-26-pdlvmeezi56thbzcqjw4dwsj2355.webp,https://zegluj.pl/jacht/shine-26/2488,,6,0,2025
Antila 30.1,800.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-30-1-1let4sbyhjhqyibr0o07rdj0f52f.webp,https://zegluj.pl/jacht/antila-30-1/2496,"Anitla 30 to  nowoczesny jacht , podążający za światowymi trendami. Atrakcyjna, dynamiczna sylwetka jachtu połączona z ergonomicznym ukształtowaniem pokładu oraz...",10,3,2025
Antila 28.2,500.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-28-2-9m3krqw4dfwflvickp4btrekmxrr.webp,https://zegluj.pl/jacht/antila-28-2/2509,,10,3,2025
Stillo 31,900.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/stillo-31-k2ifvcsc31qtf4s47h1p1h5yxq7n.webp,https://zegluj.pl/jacht/stillo-31/2529,"Stillo 31 to przestronny jacht motorowy z trzema kabinami, wygodnym kokpitem i nowoczesnym układem wnętrza. Jednostka dobrze sprawdza się na dłuższych rejsach po...",8,3,2025
Northman 1300 Trawler,1600.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/northman-1300-trawler-yh3ix2y3rvq1v7mvl10x6b2wo8fn.webp,https://zegluj.pl/jacht/northman-1300-trawler/2541,,8,3,2025
Antila 33.3,650.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-33-3-4iz0mzmbnm3qi5o1ra62rou06ocw.webp,https://zegluj.pl/jacht/antila-33-3/2560,Piękna linia kadłuba ( przypominająca trochę serie morskich jachtów Elan z charakterystycznym załamaniem nadburcia ) w połączeniu z wygodnym kokpitem z 2 kołami...,10,3,2025
Janmor 700,400.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/janmor-700-a8k03tmhwynpl1wfq7dr21xlbsqs.webp,https://zegluj.pl/jacht/janmor-700/2582,,5,0,2025
Phobos 21,300.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/phobos-21-bpyszavyir3zpdb81y3yy81cymow.webp,https://zegluj.pl/jacht/phobos-21/2588,,4,0,2025
Janmor 700,400.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/janmor-700-geuvbcp6jmw3u7ii3uly24hjulp3.webp,https://zegluj.pl/jacht/janmor-700/2627,"Ekologiczny, elektryczny, mały rodzinny houseboat. Przeznaczony jest do spokojnego pływania, testowany w różnych warunkach wiatrowych i pogodowych.Silnik elektryczny...",5,0,2025
Campione 41,2400.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/campione-41-2x24ryrb7klo27kg990cnkmuvvmd.webp,https://zegluj.pl/jacht/campione-41/2651,Zdjęcia poglądowe ze strony producenta,12,3,2025
Nordline 605,800.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/am-470-wwe2oyds3wsltf7x0fgyf9v7wdex.webp,https://zegluj.pl/jacht/nordline-605/2664,,8,0,2025
Antila 33,900.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-33-8j2t3prbynku7gxn74sbsel2z192.webp,https://zegluj.pl/jacht/antila-33/300,"Antila 33 to nowoczesna, dynamiczna jednostka pływająca wykorzystywana do celów sportowo-turystycznych, której głównym napędem są żagle. Poza napędem głównym jacht...",10,3,2024
Antila 24.4,250.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-24-4-9zewow86pl9bjmmzoibscx5sdqc9.webp,https://zegluj.pl/jacht/antila-24-4/1891,"Nowy jacht - 2024, tent, ogrzewanie, lodówka",8,0,2024
Antila 33.3,650.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-33-3-4hpgu65bv5pkulz37wpres98y03m.webp,https://zegluj.pl/jacht/antila-33-3/1910,"Jacht w budowie, zdjęcia wnętrza w przygotowaniu.",9,3,2024
Antila 27,390.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-27-5ys9h5p20px9ou9c13upy8cj5mlt.webp,https://zegluj.pl/jacht/antila-27/1917,,8,3,2024
Antila 28.2,450.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-28-2-c03y0fiteqm9oh7eykgrwyc9qza9.webp,https://zegluj.pl/jacht/antila-28-2/1918,"Jacht odebrany ze stoczni w marcu 2024r. Nowość 2023 roku - Antila 28.2. 3 zamykane, przestronne kabiny, silnik na pawęży, rumpel. Komfortowy jacht 8-10 osobowy,...",10,3,2024
Platinum 40,1300.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/platinum-40-u5tf2dr14jcpy24wbp38bn79dvxh.webp,https://zegluj.pl/jacht/platinum-40/1929,"Platinum 40 FLY to nowoczesny houseboat klasy PREMIUM, stworzony z myślą o komfortowym wypoczynku na Wielkich Jeziorach Mazurskich. Jednostka wyróżnia się elegancką...",8,3,2024
Futura 40,1100.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/futura-40-ekzbzqyl2wa4k8syxb2szahusgn5.webp,https://zegluj.pl/jacht/futura-40/1930,,8,3,2024
Maxus 34,1000.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/maxus-34-pi7wb792cyunzzwkaml6ga643gk8.webp,https://zegluj.pl/jacht/maxus-34/1989,Nasza nowość w ofercie to mocna pozycja na rynku czarterowym Wielkich Jezior Mazurskich. W sezonie 2024 oddajmy w Państwa stery dwie bliźniaczej jednostki MAXUS 34 w...,10,3,2024
Antila 26.2,500.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-26-2-dix8e0ao8ubzlpntlc04r1v4iim4.webp,https://zegluj.pl/jacht/antila-26-2/2006,Wszystkie nasze jednostki przed czarterem są sprzątane i dezynfekowanie.W trosce o wysoką jakość usług opłata za sprzątanie jachtu jest opłatą stałą -...,8,2,2024
Antila 28.2,650.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-28-2-l6z15a3vfcgaqjy97otcox18mfuw.webp,https://zegluj.pl/jacht/antila-28-2/2043,"JACHT PROSTO ZE STOCZNI.Antila 28.2 to nowoczesny, podążający za światowymi trendami jacht. Jego atrakcyjna, dynamiczna sylwetka połączona z ergonomicznym...",8,3,2024
Futura 40,1300.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/futura-40-8diylijopcvd8h240xvim9cptw1n.webp,https://zegluj.pl/jacht/futura-40/2045,Futura 40 FLY Hybrid to nowoczesny houseboat klasy PREMIUM stworzony z myślą o wygodnym wypoczynku na Szlaku Wielkich Jezior Mazurskich. Jednostka łączy elegancki...,10,3,2024
Stillo 31,750.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/stillo-31-hs04ybxuk8nrs9guprg9kdhmr9p0.webp,https://zegluj.pl/jacht/stillo-31/2068,"STILLO 31 jest to ulepszona wersja  wyjątkowo komfortowego  i przestronnego jachtu STILLO 30, który można prowadzić bez uprawnień. W tej jednostce zostały zastosowane...",8,3,2024
Antila 30.1,650.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-30-1-ycu5uk7czar9rpnlwapdhu7t2t0a.webp,https://zegluj.pl/jacht/antila-30-1/2081,"Zdjęcia jachtu poglądowe, jacht w trakcie budowy. Zabudowa tego samego producenta, możliwy inny kolor tapicerki i drewna.",10,3,2024
Antila 28.2,500.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-28-2-a84x082ayuuepk0zg27nd9u0zx47.webp,https://zegluj.pl/jacht/antila-28-2/2100,,8,3,2024
Northman 1050 Trawler,1040.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/northman-1050-trawler-0lkds03l3ry5auye2t4whyl4negx.webp,https://zegluj.pl/jacht/northman-1050-trawler/2103,Northman 1050 Trawler reprezentuje zwiększoną dzielność morską charakterystyczną dla klasycznych europejskich trawlerów. Łączy ze sobą najważniejsze elementy ergonomii...,7,2,2024
Calipso 750,400.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/calipso-750-5zoti0xxm8xgnwlera3oxkke33fe.webp,https://zegluj.pl/jacht/calipso-750/2113,"NOWY JACHT // Trzeci sezon na wodzie // Komfortowo wyposażony // Hybryda - zasilanie silnikiem elektrycznym lub spalinowym. Jest to jednostka typu houseboat, którego...",6,2,2024
Antila 30,500.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-30-4cp3w3ogktjqebqhmaypcs0nqhn2.webp,https://zegluj.pl/jacht/antila-30/2157,"Nasza Antila 30 ""AQUARIUS"" jest jedynym w swoim rodzaju jachtem żaglowym znanej i cenionej stoczni Antila Yachts. Wyróżnia ją styl, szyk i niepowtarzalność. Jest...",9,3,2024
Antila 30.1,750.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-30-1-65ljrugnj3lovc71n7tnkj75lv0q.webp,https://zegluj.pl/jacht/antila-30-1/2162,"Najlepiej wyposażona Antila 30 na Mazurach, jacht posiada całe wyposażenie oferowane przez stocznie Antila-Yachts w tym modelu!",8,3,2024
Antila 27,420.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-27-p2ies849f38ory0hhu1rm2bg553j.webp,https://zegluj.pl/jacht/antila-27/2179,toaleta chemiczna dopłata 70złopróżnienie wc chemicznego przez armatora 300zł,10,3,2024
Aquatic 28,420.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/aquatic-28-5sb7nk658yav68a2w41jk1add7eg.webp,https://zegluj.pl/jacht/aquatic-28/2180,toaleta chemiczna dopłata 70zł opróżnienie wc chemicznego przez Armatora 300zł,10,3,2024
Sea Ray SDX 290,3040.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/sea-ray-sdx-290-bboqmtfhcitp6e7qh36fst4s42qa.webp,https://zegluj.pl/jacht/sea-ray-sdx-290/2186,"Zapraszamy na pokład Sea Ray 290 SDX, gdzie luksus splata się z dreszczem przygody na jeziorach mazurskich. Zaprojektowany z myślą o komforcie i stylu, ten bowrider z...",12,0,2024
Sea Ray SLX 250,2280.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/sea-ray-slx-250-0eszbcs8csleo2b11wbep38yj8yt.webp,https://zegluj.pl/jacht/sea-ray-slx-250/2189,,12,0,2024
Maxus 34,900.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/maxus-34-ezkboj0xoxpsrs7ghy0js9tf9fku.webp,https://zegluj.pl/jacht/maxus-34/2244,,10,3,2024
Baltica 27,280.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/baltica-27-00o3b4ib9ji5pxslxyagos3srgdv.webp,https://zegluj.pl/jacht/baltica-27/2303,,6,2,2024
Maxus 34,700.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/maxus-34-1u6f6sc5qjhos9pll106crwig1sa.webp,https://zegluj.pl/jacht/maxus-34/2577,,10,3,2024
Antila 27,400.0,https://zegluj.pl/assets/no_photo-c6beb90bfa916e93fc6242faec7a7885.png,https://zegluj.pl/jacht/antila-27/2586,,10,3,2026
Altra 27,350.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/altra-27-lfxr4nl0gdw9ux29ypfbk2pzrkvk.webp,https://zegluj.pl/jacht/altra-27/2600,,9,3,2024
Antila 33,600.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-33-2wz4eagzkrfrebq71apk600fvso5.webp,https://zegluj.pl/jacht/antila-33/2605,,10,3,2024
Stillo 30,700.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/stillo-30-5nwew4ajohnzurvy18qbhr2zbqcb.webp,https://zegluj.pl/jacht/stillo-30/1028,"FUTURA 900 może być prowadzona bez uprawnień. Futura 900 adresowana jest do osób ceniących sobie komfort i wygodę. 3 oddzielne zamykane kabiny 2 osobowe, prysznic z...",8,3,2023
SunCamper 35,650.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/suncamper-35-h1y7a9vxdksw604n2yc5hlyb0tpu.webp,https://zegluj.pl/jacht/suncamper-35/1037,Nowość 2018 - Sun Camper 35! Luksusowy houseboat przeznaczony dla najbardziej wymagających klientów. Posiada przestronne i jasne wnętrze z pełną wysokością stania....,6,2,2023
Antila 24.4,330.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-24-4-nuyykl173slosltekxt5hogmanik.webp,https://zegluj.pl/jacht/antila-24-4/1149,"Antila 24.4 jest niezwykle ciekawą propozycją głównie dla armatorów prywatnych z uwagi na łatwą 1 osobowa obsługę, nie mniej jednak ze względu na walory przestrzenne...",8,0,2023
Navigathor 30,650.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/navigathor-30-l5genl8nx14t2axs61pb9l35x6ne.webp,https://zegluj.pl/jacht/navigathor-30/1228,Navigathor 30 Exclusive (2023) 60 KM z Teakiem na pokładzie  -  komfortowy / przestronny jacht typu Houseboat 6-cio osobowy; posiada : 2 oddzielnie zamykane kabiny...,6,2,2023
Antila 24.4,400.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-24-4-bicv61fhdjmae2oa4plj5pixcfcx.webp,https://zegluj.pl/jacht/antila-24-4/1408,"Jacht jest wyposażony m.in. w szprycbudę, prysznic zewnętrzny, panel fotowoltaiczny, instalację wody pitnej i zaburtowej oraz ogrzewanie.",6,0,2023
Aquatic 28,,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/aquatic-28-r2q0hhkm0tqf76bt1a74xxpmaco1.webp,https://zegluj.pl/jacht/aquatic-28/1468,"Zdjęcia jachtu poglądowe, jacht w trakcie budowy. Taka sama zabudowa tego samego producenta, możliwy inny kolor tapicerki, brak jaskółek w oparciach, szprycbuda,...",8,3,2023
Antila 33.3,700.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-33-3-h9s6c29nui3prei2qa8eivpkbren.webp,https://zegluj.pl/jacht/antila-33-3/1482,,10,3,2023
Maestro 42,2300.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/maestro-42-uh7zuqz1grixpwteepccvcpm1p76.webp,https://zegluj.pl/jacht/maestro-42/1489,,10,3,2023
